#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2.0	0.8136	14.277013333333334	10.5625	241.9792	308.0
3.0	0.7025	20.330666666666666	11.1765	905.9765	302.0
4.0	0.6703	18.517976666666666	11.041	849.2869	295.0
5.0	0.6708	18.32184	10.8282	865.1656	266.0
6.0	0.6393	18.371076666666667	11.0256	865.8051	212.0
7.0	0.6104	17.82550666666667	11.0045	722.75	177.0
8.0	0.5245	19.584946666666667	11.24	808.4711	137.0
9.0	0.4918	19.433636666666665	11.4772	694.444	108.0
10.0	0.4499	18.495113333333332	10.9595	685.2308	72.0
11.0	0.4016	19.340896666666666	11.3429	699.5796	50.0
12.0	0.3582	20.21321	11.2042	796.7375	50.0
