#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2.0	0.8136	14.277013333333334	10.6875	241.9792	308.0
3.0	0.7273	20.28231	11.1932	1027.5568	302.0
4.0	0.6978	20.646876666666667	11.2598	913.4724	290.0
5.0	0.6831	19.756846666666668	10.8193	834.012	263.0
6.0	0.6262	18.414973333333332	11.2461	924.6021	217.0
7.0	0.5913	19.02144333333333	10.7005	878.4839	175.0
8.0	0.5315	20.393786666666664	11.1009	798.9956	137.0
9.0	0.4796	20.43503666666667	11.1574	745.1745	107.0
10.0	0.4299	18.643093333333336	10.9576	815.9068	72.0
11.0	0.3951	19.573733333333333	11.0456	703.3402	50.0
12.0	0.3642	18.861966666666667	10.8893	688.2869	50.0
