#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2.0	0.8136	46.92166666666667	9.2083	47.7083	308.0
3.0	0.8264	37.46843333333334	9.04	693.8	303.0
4.0	0.7637	36.92570666666666	10.0791	943.7482	298.0
5.0	0.7531	34.41102	10.1749	957.9727	293.0
6.0	0.7279	32.35048	10.2387	891.6216	288.0
7.0	0.7221	30.360263333333332	9.9509	839.9434	283.0
8.0	0.7063	29.736513333333335	10.066	819.1023	278.0
9.0	0.6857	28.231606666666668	9.9613	813.6339	266.0
10.0	0.6685	26.96054333333333	9.8501	749.0136	169.0
11.0	0.6459	25.549823333333332	9.8173	700.9365	60.0
12.0	0.6149	24.6839	9.7403	672.3932	50.0
