#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2.0	0.8136	14.96229	8.5625	246.5	308.0
3.0	0.7355	18.25865333333333	9.1236	1122.1236	303.0
4.0	0.7033	21.453539999999997	9.4453	1087.0078	294.0
5.0	0.6996	20.80094	9.6647	1050.2882	289.0
6.0	0.6557	19.834766666666667	9.325	913.415	282.0
7.0	0.6485	18.464413333333333	9.3655	857.2647	274.0
8.0	0.6294	17.799123333333334	9.7667	903.8667	250.0
9.0	0.6204	17.9691	9.8421	879.9441	177.0
10.0	0.5847	16.53301	9.4268	710.6667	95.0
11.0	0.5295	16.418616666666665	9.3251	799.0898	50.0
12.0	0.4955	16.673723333333335	9.5753	825.2892	50.0
