#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2.0	0.8136	19.48027666666667	11.1667	236.0625	308.0
3.0	0.7355	22.54760333333333	11.5393	982.6067	303.0
4.0	0.6813	22.280216666666668	11.6532	906.7016	295.0
5.0	0.6914	23.062163333333334	11.125	761.4048	285.0
6.0	0.659	22.939883333333334	11.1841	771.3483	274.0
7.0	0.6267	23.595506666666665	11.0043	698.8435	253.0
8.0	0.62	24.48607666666667	10.8571	598.1842	207.0
9.0	0.5755	24.66925666666667	10.7908	598.3865	141.0
10.0	0.5337	23.25249	10.8874	559.5529	77.0
11.0	0.4672	24.017076666666664	10.8175	595.0807	50.0
12.0	0.4299	24.311296666666667	10.7778	594.7778	50.0
