#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2.0	1.0	1.7492100000000002	6.5424	168.9661	170.0
3.0	0.6777	5.57866	7.3293	2075.0	100.0
4.0	0.5604	5.6306199999999995	7.2353	1837.6373	70.0
5.0	0.4527	4.89909	7.1182	1640.5273	62.0
6.0	0.3869	6.164463333333333	7.1356	1496.5339	56.0
7.0	0.3052	7.537173333333333	7.3393	1584.7946	54.0
8.0	0.2751	7.310253333333334	6.9407	1511.2966	51.0
9.0	0.2367	7.619339999999999	7.0776	1611.3793	46.0
10.0	0.2168	10.782323333333332	7.2185	1576.2857	44.0
11.0	0.1934	6.836326666666666	7.0254	1599.7881	41.0
12.0	0.1896	7.99609	6.937	1446.4646	41.0
