#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2.0	1.0	3.6728233333333336	6.0847	167.9661	170.0
3.0	0.7438	10.475073333333334	6.4111	1444.6	165.0
4.0	0.7802	12.580846666666668	7.3239	1685.338	159.0
5.0	0.786	16.521866666666668	7.178	2006.3874	145.0
6.0	0.7639	18.448083333333333	7.8412	2168.0343	127.0
7.0	0.7248	17.65609	7.218	1928.5902	104.0
8.0	0.6946	21.920436666666667	7.2181	1791.2617	82.0
9.0	0.6122	19.70572333333333	7.2	1735.9733	55.0
10.0	0.5665	21.639913333333332	7.1833	1617.3023	43.0
11.0	0.5066	21.766203333333333	7.3139	1630.2492	41.0
12.0	0.4627	19.991893333333334	7.0677	1709.4	41.0
