#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2.0	0.0	0.0	0.0	0.0	-1.0
3.0	0.6364	4.768743333333333	7.3896	1887.987	117.0
4.0	0.5714	3.4683966666666666	7.3269	1543.5769	109.0
5.0	0.5062	2.92821	6.3902	1272.4634	105.0
6.0	0.5279	3.4786533333333334	6.323	1026.4907	89.0
7.0	0.4823	3.78465	5.7458	932.0169	74.0
8.0	0.4545	6.095470000000001	5.8308	863.3333	50.0
9.0	0.4122	4.400626666666667	5.7327	794.9109	45.0
10.0	0.3661	4.464213333333333	5.597	838.1791	44.0
11.0	0.3148	4.1047400000000005	5.7552	881.9427	41.0
12.0	0.3045	4.880669999999999	5.6814	845.9216	41.0
