#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2.0	1.0	1.4526000000000001	6.0847	170.0	170.0
3.0	0.6612	3.6584999999999996	6.375	870.0625	120.0
4.0	0.5989	3.66945	7.0	742.156	78.0
5.0	0.5185	3.653703333333333	7.1508	689.6032	76.0
6.0	0.4525	3.59662	7.3623	661.3478	74.0
7.0	0.4332	2.8503133333333333	7.327	585.5849	68.0
8.0	0.4103	3.135076666666667	7.4886	483.6648	51.0
9.0	0.3633	3.322173333333333	7.4157	515.3258	46.0
10.0	0.3406	2.8729066666666667	7.3957	484.2032	41.0
11.0	0.3049	2.8651066666666667	7.4731	533.2581	41.0
12.0	0.2687	3.03289	7.6056	543.0	41.0
