#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2.0	1.0	1.6988699999999999	4.7288	170.0	170.0
3.0	0.8099	11.803436666666666	5.3469	1923.4286	161.0
4.0	0.8242	14.7234	6.1133	1943.0667	156.0
5.0	0.8107	15.414956666666665	6.5685	2231.6396	149.0
6.0	0.7672	13.590086666666668	6.4615	2336.1197	137.0
7.0	0.7548	14.80367	6.852	2335.7726	114.0
8.0	0.69	12.12419	6.3851	2266.9358	90.0
9.0	0.6714	11.535643333333333	6.3678	2020.0426	62.0
10.0	0.6138	10.882273333333334	6.1632	2070.8961	42.0
11.0	0.5607	10.338616666666667	6.2836	1769.9064	41.0
12.0	0.5328	12.772183333333334	6.2101	1827.563	41.0
