#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2	1.0	38.3184733333	9.5085	41.6102	264.0
3	0.9339	32.2343366667	10.177	1597.1947	260.0
4	0.8407	30.5310033333	10.3464	1629.5556	256.0
5	0.8642	30.8373966667	11.3619	1980.8476	252.0
6	0.8623	32.5766666667	11.9962	2014.1863	248.0
7	0.861	32.6210766667	11.712	2059.3481	244.0
8	0.8578	32.3894733333	11.788	2105.481	240.0
9	0.851	32.3698866667	11.8465	2097.729	229.0
10	0.8434	32.15237	11.8035	2092.9244	137.0
11	0.8131	31.80877	12.0504	2120.1411	53.0
12	0.7448	31.80946	11.8557	2149.1904	46.0
