#time	avg_pdr	avg_lat	avg_hop	avg_overhead	avg_alive_nodes 
2	0.9661	10.81468	11.614	261.3509	264.0
3	0.7438	16.3218133333	11.9556	2048.0333	209.0
4	0.6429	16.83436	13.1538	2047.7607	164.0
5	0.535	22.62546	12.2231	1811.8538	147.0
6	0.4131	19.6224333333	11.9206	1783.4921	134.0
7	0.376	21.7675366667	11.7754	1679.087	125.0
8	0.338	24.0600933333	11.4552	1603.1724	95.0
9	0.2816	22.6723433333	11.4783	1699.2681	67.0
10	0.2969	26.74869	12.3252	1564.0368	53.0
11	0.223	21.9049266667	12.8088	1725.2353	46.0
12	0.2104	21.5198566667	11.6241	1635.9362	46.0
