x,y
85.4284,27.6721
85.4217,27.67
85.43015,27.6688
85.4361,27.6699
85.4375,27.6734
85.4368,27.6756
85.32528,27.60583
85.26553,27.6714
85.71223,27.77779
85.85563,27.75619
84.72523,28.19506
84.80825,28.03885
85.39395,27.69903
86.02889,27.39677
86.09795,27.44163
85.42251,27.38555
85.3559,27.7
85.404715,27.72665
85.35266,27.7199
85.08438,27.58762
86.345,27.2325
85.333389,27.915497
86.10197,27.47861
85.89528,27.69958
85.18318,28.01507
85.15141,27.92837
85.65485124,27.71564888
85.43345,27.6704
85.446582,27.667522
85.436858,27.67482
85.28292,27.72612
85.65145831,27.63213789
84.88896,27.91584
84.89431,27.92288
85.367,27.726
85.44444,27.30804
84.78496,28.20671
85.89909,27.7899
85.21006,28.00437
84.73583,28.20207
84.74176,28.20612
85.421,27.674
86.28494,27.560984
86.375453,27.571626
86.279421,27.473433
85.409894,27.726267
85.191,27.991
85.24828,27.93693
85.07523,27.56355
85.42522,27.66716
84.79046,28.20908
84.79578,28.21166
84.73563,28.21012
85.76637,27.80713
85.76803,27.81103
85.89162,27.68249
85.8812,27.81974
86.42697,27.35821
85.43201,27.38205
86.04651,27.37507
84.89446,27.90291
85.68343,27.68951
85.577029,27.829595
85.57367,27.83066
84.9049,28.23357
85.38499,27.7406
85.291289,27.833126
85.148212,27.79364
86.316553,27.357842
85.122357,27.885177
84.90236,28.23348
84.89742,28.23273
86.09918,27.44215
86.09989,27.44214
85.95569,27.717869
85.6400465,27.69377383
85.17488,27.92046
84.973111,28.107561
84.979247,28.099658
84.973111,28.106184
85.22626,27.44684
84.89712,27.91661
84.907,27.92261
84.84672,27.90623
84.83822,27.90456
85.03113,28.01839
85.29504,28.11263
85.29707,28.11115
85.29909,28.11648
85.29837,28.11018
85.71983,27.8397
85.71926,27.84605
85.71486,27.8362
86.37379,27.2697
86.42648,27.34665
85.5971167,27.4867056
85.47818,27.34901
85.48882,27.34136
85.71899,27.77158
86.3306,27.4277
86.03898,27.43164
84.89779,27.90191
85.18499,27.98089
84.82314,27.99591
84.90354,27.91731
86.04786,27.37784
85.42315,27.6729333
85.426172,27.668699
85.426138,27.668625
85.48321,27.3478
84.82314,27.99591
84.89377,27.90051
85.44234,27.66921
86.2728861,27.4789889
85.02669,28.02124
85.31051,28.10796
84.87984,28.25377
84.8836,28.24123
84.88504,28.24494
85.775086,27.82795
