wkt_geom,id,amenity,shelter_type,building,name,operator,pati,addr:city,addr:street,addr:tole,building:levels,ward
"Polygon ((85.27452470000000062 27.67921330000000069, 85.2745321999999959 27.67921039999999877, 85.27452549999999576 27.67919649999999976, 85.27451800000000048 27.67919930000000051, 85.27452470000000062 27.67921330000000069))",323992743,shelter,,,,,,,,,,
"Polygon ((85.27717400000000225 27.67816219999999916, 85.27716429999999548 27.6781454999999994, 85.27720560000000205 27.67812680000000114, 85.27721520000000055 27.67814339999999973, 85.27717400000000225 27.67816219999999916))",323992746,shelter,,,,,,,,,,
"Polygon ((85.27729659999999967 27.67807690000000065, 85.27731640000000368 27.67806879999999836, 85.27733059999999909 27.67809619999999882, 85.27731079999999508 27.6781043000000011, 85.27729659999999967 27.67807690000000065))",323992747,shelter,,,,,,,,,,
"Polygon ((85.27806219999999371 27.67835649999999958, 85.27810780000000079 27.67831909999999951, 85.27816369999999324 27.67837249999999827, 85.2781180000000063 27.67840989999999834, 85.27806219999999371 27.67835649999999958))",323994401,shelter,,,,,,,,,,
"Polygon ((85.27442940000000249 27.68022470000000013, 85.27439750000000629 27.68018010000000118, 85.27437439999999924 27.68019310000000033, 85.27440620000000138 27.68023769999999928, 85.27442940000000249 27.68022470000000013))",324198233,shelter,,,,,,,,,,
"Polygon ((85.27359219999999596 27.67969069999999832, 85.27354680000000542 27.67971059999999994, 85.27355620000000158 27.6797272999999997, 85.27356240000000298 27.67973849999999914, 85.27360779999999352 27.67971860000000106, 85.27359219999999596 27.67969069999999832))",324198999,shelter,,,,,,,,,,
"Polygon ((85.27703139999999848 27.67874240000000086, 85.27704380000000128 27.67876839999999916, 85.27708379999999977 27.67875469999999893, 85.27706840000000454 27.67872739999999965, 85.27703139999999848 27.67874240000000086))",324485176,shelter,,,,,,,,,,
"Polygon ((85.27638430000000369 27.67866640000000089, 85.27641380000000026 27.67865210000000076, 85.27642450000000451 27.67867710000000159, 85.27639499999999373 27.67869130000000055, 85.27638430000000369 27.67866640000000089))",324499575,shelter,,,,,,,,,,
"Polygon ((85.27631169999999372 27.67925370000000029, 85.27630150000000242 27.67923299999999998, 85.27635639999999739 27.67921409999999938, 85.27636859999999785 27.67923569999999955, 85.27631169999999372 27.67925370000000029))",324501642,shelter,,,,,,,,,,
"Polygon ((85.27638790000000313 27.67922400000000138, 85.27638079999999832 27.67920600000000064, 85.27641130000000658 27.67919609999999864, 85.27641939999999465 27.67921229999999966, 85.27638790000000313 27.67922400000000138))",324502274,shelter,,,,,,,,,,
"Polygon ((85.27644420000000025 27.67920189999999891, 85.27643720000000371 27.6791905000000007, 85.27648499999999387 27.67917909999999893, 85.27649209999999869 27.6791905000000007, 85.27644420000000025 27.67920189999999891))",324511673,shelter,,,Bhajan Mandal,,,,,,,
"Polygon ((85.27533139999999889 27.67925260000000165, 85.27535960000000159 27.67923719999999932, 85.27537030000000584 27.67926209999999898, 85.27531930000000671 27.67929300000000126, 85.27531399999999451 27.67927999999999855, 85.27534439999999449 27.67926220000000015, 85.27533139999999889 27.67925260000000165))",324759081,shelter,,,,,,,,,,
"Polygon ((85.27479019999999821 27.67972230000000167, 85.27481050000000096 27.6797114999999998, 85.27479219999999316 27.67968989999999962, 85.2747729000000021 27.67969980000000163, 85.27479019999999821 27.67972230000000167))",324769035,shelter,,,,,,,,,,
"Polygon ((85.27484509999999318 27.67972500000000124, 85.2748593000000028 27.67970790000000036, 85.27484509999999318 27.67969980000000163, 85.27483189999999524 27.67971689999999896, 85.27484509999999318 27.67972500000000124))",324769280,shelter,,,,,,,,,,
"Polygon ((85.27496809999999527 27.67985729999999833, 85.2749823000000049 27.67985009999999946, 85.27499450000000536 27.67986540000000062, 85.27497929999999826 27.67987439999999921, 85.27496809999999527 27.67985729999999833))",324770117,shelter,,,,,,,,,,
"Polygon ((85.27502300000000446 27.67981410000000153, 85.27503409999999917 27.67980329999999967, 85.27504020000000651 27.67981049999999854, 85.27503009999999506 27.67982040000000055, 85.27502300000000446 27.67981410000000153))",324770614,shelter,,,,,,,,,,
"Polygon ((85.27705690000000516 27.67571059999999861, 85.27704439999999408 27.67572679999999963, 85.27709049999999991 27.67574899999999971, 85.27709819999999752 27.67573870000000014, 85.27705690000000516 27.67571059999999861))",327555307,shelter,,,,,,,,,,
"Polygon ((85.27319540000000586 27.67854159999999908, 85.27318019999999876 27.67855510000000052, 85.27320120000000259 27.67857000000000056, 85.27321349999999711 27.67855760000000132, 85.27319540000000586 27.67854159999999908))",331357986,shelter,,,Man-dah-phal-cha,,,,,,,
"Polygon ((85.27785459999999773 27.67014849999999981, 85.27784649999999544 27.67013409999999851, 85.27781090000000574 27.67014759999999995, 85.27782109999999705 27.67016380000000098, 85.27785459999999773 27.67014849999999981))",333286482,shelter,,,,,,,,,,
"Polygon ((85.27991360000000043 27.6705229000000017, 85.27991450000000384 27.67050330000000002, 85.27996050000000139 27.67050100000000157, 85.27995869999999456 27.67052059999999969, 85.27991360000000043 27.6705229000000017))",333420288,shelter,,,,,,,,,,
"Polygon ((85.27651830000000643 27.67323920000000115, 85.27653220000000545 27.67322689999999952, 85.2765660999999966 27.67324049999999858, 85.27655529999999828 27.6732541999999988, 85.27651830000000643 27.67323920000000115))",333963239,shelter,,,,,,,,,,
"Polygon ((85.27700869999999611 27.6760193000000001, 85.27702390000000321 27.67599769999999992, 85.27704730000000666 27.67601210000000123, 85.2770320000000055 27.67603460000000126, 85.27700869999999611 27.6760193000000001))",335851777,shelter,,,,,,,,,,
"Polygon ((85.27531340000000171 27.67813140000000161, 85.27528420000000153 27.67813849999999931, 85.27529570000000092 27.67816429999999883, 85.27532050000000652 27.67815570000000136, 85.27531340000000171 27.67813140000000161))",338252797,shelter,,,,,,,,,,
"Polygon ((85.27326490000000092 27.68013240000000152, 85.27326639999999713 27.68009959999999836, 85.27330960000000459 27.68010239999999911, 85.27330650000000389 27.6801351000000011, 85.27326490000000092 27.68013240000000152))",339097969,shelter,,,,,,,,,,
"Polygon ((85.64276719999999443 27.65366969999999824, 85.64271259999999586 27.65368870000000001, 85.64273930000000234 27.65374890000000008, 85.64279390000000092 27.65372980000000069, 85.64276719999999443 27.65366969999999824))",341582911,shelter,public_transport,,,,,,,,,
"Polygon ((85.63471810000000062 27.64759330000000048, 85.63472330000000454 27.64762599999999892, 85.6347956000000039 27.64761689999999916, 85.63479030000000591 27.64758420000000072, 85.63471810000000062 27.64759330000000048))",341582914,shelter,public_transport,,,,,,,,,
"Polygon ((85.6423422999999957 27.65381860000000103, 85.64234120000000416 27.6538687000000003, 85.64243500000000608 27.65387039999999885, 85.6424362000000059 27.65382029999999958, 85.6423422999999957 27.65381860000000103))",341582916,shelter,public_transport,,,,,,,,,
"Polygon ((85.63725959999999304 27.65569139999999848, 85.63721569999999872 27.65570440000000119, 85.63724320000000034 27.65577710000000167, 85.63728709999999467 27.65576400000000135, 85.63725959999999304 27.65569139999999848))",341582918,shelter,public_transport,,,,,,,,,
"Polygon ((85.63723020000000474 27.65579549999999998, 85.63723330000000544 27.65585129999999836, 85.63731260000000134 27.65584790000000126, 85.6373095999999947 27.65579209999999932, 85.63723020000000474 27.65579549999999998))",341582920,shelter,public_transport,,,,,,,,,
"Polygon ((85.63961940000000084 27.65614629999999963, 85.63962320000000261 27.65606550000000041, 85.63956919999999684 27.65606349999999836, 85.63956539999999507 27.65614430000000112, 85.63961940000000084 27.65614629999999963))",341582922,shelter,public_transport,,,,,,,,,
"Polygon ((85.64480129999999747 27.65498970000000156, 85.64477499999999566 27.65501899999999935, 85.64483009999999297 27.65505770000000041, 85.64485630000000072 27.65502839999999907, 85.64480129999999747 27.65498970000000156))",341582923,shelter,public_transport,,,,,,,,,
"Polygon ((85.63482489999999814 27.64761139999999884, 85.63495109999999499 27.64760000000000062, 85.63494269999999631 27.64752740000000131, 85.63481649999999945 27.64753879999999953, 85.63482489999999814 27.64761139999999884))",341582924,shelter,public_transport,,,,,,,,,
"Polygon ((85.64260550000000194 27.65370479999999986, 85.64262030000000436 27.65374729999999914, 85.64267979999999625 27.65373110000000167, 85.64266499999999382 27.65368859999999884, 85.64260550000000194 27.65370479999999986))",341582925,shelter,public_transport,,,,,,,,,
"Polygon ((85.63544070000000374 27.65484800000000121, 85.63566500000000303 27.65458380000000105, 85.63559829999999806 27.65453940000000088, 85.63537399999999877 27.65480360000000104, 85.63544070000000374 27.65484800000000121))",341582926,shelter,public_transport,,,,,,,,,
"Polygon ((85.63820099999999513 27.65762610000000166, 85.63826659999999436 27.65780510000000092, 85.63840129999999817 27.65776639999999986, 85.63833569999999895 27.65758729999999943, 85.63820099999999513 27.65762610000000166))",341582927,shelter,public_transport,,,,,,,,,
"Polygon ((85.64458770000000243 27.65492130000000159, 85.64465350000000399 27.65494049999999859, 85.64466919999999561 27.65489799999999931, 85.64460339999999405 27.65487889999999993, 85.64458770000000243 27.65492130000000159))",341582929,shelter,public_transport,,,,,,,,,
"Polygon ((85.63659330000000125 27.65573330000000141, 85.63665009999999711 27.65565489999999826, 85.63659760000000176 27.65562510000000174, 85.6365408000000059 27.65570340000000016, 85.63659330000000125 27.65573330000000141))",341582930,shelter,public_transport,,,,,,,,,
"Polygon ((85.63560950000000105 27.65511349999999879, 85.63565869999999336 27.65515230000000102, 85.63584020000000407 27.65497119999999853, 85.63579099999999755 27.65493239999999986, 85.63560950000000105 27.65511349999999879))",341582931,shelter,public_transport,,,,,,,,,
"Polygon ((85.63646489999999289 27.65553799999999995, 85.63652779999999609 27.65555390000000102, 85.63653879999999674 27.65551969999999926, 85.63647579999999948 27.65550389999999936, 85.63646489999999289 27.65553799999999995))",341582932,shelter,public_transport,,,,,,,,,
"Polygon ((85.63463090000000477 27.64759520000000137, 85.63465820000000406 27.64767120000000133, 85.63471950000000277 27.64765390000000167, 85.63469220000000348 27.6475779000000017, 85.63463090000000477 27.64759520000000137))",341582933,shelter,public_transport,,,,,,,,,
"Polygon ((85.63713679999999329 27.65585689999999985, 85.63722679999999343 27.65585390000000032, 85.63722429999999974 27.65579520000000002, 85.6371342999999996 27.65579830000000072, 85.63713679999999329 27.65585689999999985))",341582934,shelter,public_transport,,,,,,,,,
"Polygon ((85.63663640000000044 27.65575899999999976, 85.6366838999999942 27.65578389999999942, 85.63673420000000647 27.65570849999999936, 85.6366866999999985 27.65568370000000087, 85.63663640000000044 27.65575899999999976))",341582935,shelter,public_transport,,,,,,,,,
"Polygon ((85.63973330000000317 27.65597999999999956, 85.63976920000000348 27.65590329999999852, 85.63969840000000033 27.65587730000000022, 85.63966250000000002 27.65595400000000126, 85.63973330000000317 27.65597999999999956))",341582936,shelter,public_transport,,,,,,,,,
"Polygon ((85.63731529999999736 27.65577959999999891, 85.63733519999999544 27.65583979999999897, 85.63743440000000362 27.65581419999999824, 85.63741450000000555 27.65575390000000056, 85.63731529999999736 27.65577959999999891))",341582938,shelter,public_transport,,,,,,,,,
"Polygon ((85.48725190000000396 27.77989339999999885, 85.48725380000000484 27.77983289999999883, 85.48721140000000673 27.77983190000000135, 85.48720950000000585 27.77989240000000137, 85.48725190000000396 27.77989339999999885))",341721446,shelter,,yes,,,,,,,,
"Polygon ((85.63175819999999305 27.64757429999999871, 85.63182600000000377 27.64752470000000173, 85.63179999999999836 27.64750099999999833, 85.63173270000000059 27.64755879999999877, 85.63175819999999305 27.64757429999999871))",354222725,shelter,public_transport,,,,,,,,,
"Polygon ((85.12989770000000078 27.53641349999999832, 85.12986060000000066 27.53639009999999843, 85.129816500000004 27.53644519999999929, 85.12985360000000412 27.53646859999999919, 85.12989770000000078 27.53641349999999832))",442391925,shelter,,,,,,,,,,
"Polygon ((85.42725409999999897 27.67173409999999834, 85.42732850000000155 27.67172940000000025, 85.4273265000000066 27.67170439999999942, 85.42725210000000402 27.67170859999999877, 85.42725409999999897 27.67173409999999834))",511244495,shelter,lean_to,,,public,,,kolechhe,kolechhe,,
