wkt_geom,id,amenity,name,source,student:count,municipality,idp:camp_site,idp:status_20150427
"Polygon ((85.32718710000000328 27.68727850000000146, 85.32740330000000029 27.68724690000000166, 85.32751190000000463 27.68725769999999997, 85.32762060000000304 27.68730950000000135, 85.32768009999999492 27.68733410000000106, 85.32730850000000089 27.68705650000000063, 85.32718710000000328 27.68727850000000146))",124300987,college,Olympia World College / Milton International College,OpenDRI survey,95,,,
"Polygon ((85.3188015000000064 27.69006189999999989, 85.31919829999999649 27.6897334000000015, 85.3193631000000039 27.68993770000000154, 85.31942650000000583 27.68989940000000161, 85.31945840000000203 27.68993770000000154, 85.31950150000000122 27.68990679999999927, 85.31956169999999418 27.68996359999999868, 85.31945159999999362 27.69004749999999859, 85.31951290000000654 27.69012349999999856, 85.31934429999999736 27.69029889999999838, 85.31914559999999881 27.69043320000000108, 85.3188015000000064 27.69006189999999989))",124304055,hospital,Norvic Hospital,OpenDRI survey,,,,
"Polygon ((85.31814740000000086 27.68940329999999861, 85.31942379999999559 27.68873250000000041, 85.31945410000000152 27.68878610000000151, 85.3195034000000021 27.6887660000000011, 85.31952990000000625 27.68879289999999926, 85.31953369999999381 27.68883310000000009, 85.31950460000000191 27.68889869999999931, 85.31961189999999817 27.68906540000000049, 85.31964840000000549 27.68905110000000036, 85.31968469999999627 27.68911140000000159, 85.31938030000000595 27.68925700000000134, 85.31945469999999432 27.68936210000000031, 85.31933220000000517 27.68942440000000005, 85.31934990000000596 27.68944210000000083, 85.31930939999999453 27.689468999999999, 85.3190374999999932 27.68966490000000036, 85.3187230999999997 27.68995669999999976, 85.31841629999999554 27.68970510000000118, 85.31827989999999318 27.68959780000000137, 85.31815869999999791 27.68946030000000036, 85.31814740000000086 27.68940329999999861))",124304057,hospital,Paropakar Maternity Hospital,,,,,
"Polygon ((85.31238009999999861 27.68709439999999944, 85.31261290000000486 27.68700880000000097, 85.31250249999999369 27.6867732999999987, 85.31226970000000165 27.68685890000000072, 85.31238009999999861 27.68709439999999944))",124480163,college,Campion College,OpenDRI survey,500,,,
"Polygon ((85.33833380000000091 27.68741160000000079, 85.3389554999999973 27.68727420000000095, 85.33925779999999861 27.68721060000000023, 85.34027690000000632 27.68697360000000174, 85.33989080000000627 27.68573639999999969, 85.33840530000000513 27.68605880000000141, 85.33826449999999397 27.68611509999999853, 85.33821539999999573 27.68618800000000135, 85.33829620000000205 27.68700460000000163, 85.33833380000000091 27.68741160000000079))",124713260,hospital,Civil Service Hospital,,,,,
"Polygon ((85.34960680000000366 27.70260389999999973, 85.34921319999999412 27.70281479999999874, 85.34893350000000112 27.70238990000000001, 85.34888180000000091 27.70235329999999863, 85.34897839999999292 27.7022492999999983, 85.34916490000000522 27.70211180000000084, 85.34920280000000048 27.70209649999999968, 85.34932019999999397 27.70226159999999993, 85.34946180000000027 27.7022125999999993, 85.34960680000000366 27.70260389999999973))",125637523,college,Classic College International,OpenDRI survey,850,,,
"Polygon ((85.3265288000000055 27.64412139999999951, 85.32637590000000216 27.64392760000000138, 85.32604419999999834 27.64396969999999953, 85.32580910000000074 27.64399949999999961, 85.32562079999999582 27.64392429999999834, 85.32551829999999882 27.64367929999999873, 85.32565780000000188 27.64321299999999937, 85.32565940000000637 27.64311169999999862, 85.32564399999999694 27.64310820000000035, 85.32547540000000197 27.64307039999999915, 85.32521800000000667 27.64278529999999989, 85.32502479999999423 27.64208199999999849, 85.32538959999999406 27.64187289999999919, 85.32565780000000188 27.64201549999999941, 85.32591530000000546 27.64135010000000037, 85.32609770000000537 27.64135010000000037, 85.32626940000000104 27.64135969999999887, 85.32645180000000096 27.64135969999999887, 85.32653759999999465 27.64138820000000152, 85.32668780000000197 27.64141670000000062, 85.3268494000000004 27.64146249999999938, 85.32695599999999558 27.64149270000000058, 85.3270847999999944 27.64186339999999831, 85.32708999999999833 27.64228200000000157, 85.32709499999999991 27.64267819999999887, 85.32707089999999539 27.64278880000000171, 85.32702989999999943 27.64297709999999952, 85.32717789999999525 27.64300860000000171, 85.32711869999999976 27.64323410000000081, 85.32701810000000364 27.64322879999999927, 85.32695889999999395 27.64342279999999974, 85.32683839999999975 27.64362589999999997, 85.32677540000000249 27.64373219999999876, 85.32683459999999798 27.64384760000000085, 85.3265288000000055 27.64412139999999951))",126174335,school,GEMS,,,,,
"Polygon ((85.29321849999999472 27.69457660000000132, 85.29313750000000027 27.69420009999999976, 85.29338989999999399 27.69403120000000129, 85.29366720000000157 27.69384559999999951, 85.29375349999999401 27.69366970000000094, 85.29401359999999954 27.69363549999999918, 85.29402229999999463 27.69342380000000148, 85.29430600000000595 27.69336339999999907, 85.29446830000000546 27.69451210000000074, 85.29321849999999472 27.69457660000000132))",126322078,school,Lincoln School,,,,,
"Polygon ((85.31132309999999563 27.67442259999999976, 85.31202530000000195 27.67415370000000152, 85.31256720000000371 27.67395480000000063, 85.31291149999999845 27.67385850000000147, 85.31334630000000629 27.67370760000000018, 85.31386929999999325 27.67357050000000029, 85.31391759999999636 27.67371290000000172, 85.31392060000000299 27.67380209999999963, 85.31399290000000235 27.67405469999999923, 85.31424130000000616 27.6740062999999985, 85.31428999999999974 27.67414439999999942, 85.31402160000000379 27.67422529999999981, 85.31406660000000386 27.67436909999999983, 85.31402129999999318 27.67453920000000167, 85.31425779999999293 27.67510160000000141, 85.31389430000000118 27.67512119999999953, 85.3135659000000004 27.67523750000000149, 85.31341089999999383 27.67497630000000086, 85.31237679999999557 27.67530119999999982, 85.31187230000000454 27.67548259999999871, 85.31132309999999563 27.67442259999999976))",134726860,school,St. Xavier's School,OpenDRI survey,1660,,,
"Polygon ((85.52300520000000006 27.71978620000000149, 85.52306690000000344 27.71987929999999878, 85.52321739999999295 27.71980130000000031, 85.5231741999999997 27.71972889999999978, 85.52315579999999784 27.71970819999999947, 85.52300520000000006 27.71978620000000149))",135766302,school,Kent Public School,,,,,
